STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,WDSP,PRCP
USW00094846,2023-09-01,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",71.2,6.5,0.00
USW00094846,2023-09-02,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",73.1,7.2,0.01
USW00094846,2023-09-03,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",75.5,5.8,0.00
USW00094846,2023-09-04,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",76.8,8.1,0.05
USW00094846,2023-09-05,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",74.2,9.3,0.00
USW00094846,2023-09-06,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",70.1,10.1,0.10
USW00094846,2023-09-07,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",68.3,8.7,0.02
USW00094846,2023-09-08,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",69.0,7.5,0.00
USW00094846,2023-09-09,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",72.3,6.9,0.00
USW00094846,2023-09-10,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",74.0,8.0,0.00
USW00094846,2023-09-11,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",75.1,9.5,0.15
USW00094846,2023-09-12,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",72.5,11.2,0.20
USW00094846,2023-09-13,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",68.9,12.5,0.00
USW00094846,2023-09-14,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",67.2,10.8,0.00
USW00094846,2023-09-15,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",69.8,9.1,0.00
USW00094846,2023-09-16,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",71.6,7.8,0.00
USW00094846,2023-09-17,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",73.4,8.3,0.03
USW00094846,2023-09-18,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",74.3,9.0,0.00
USW00094846,2023-09-19,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",72.8,10.2,0.00
USW00094846,2023-09-20,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",70.5,11.5,0.25
USW00094846,2023-09-21,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",68.0,9.8,0.00
USW00094846,2023-09-22,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",66.5,8.2,0.00
USW00094846,2023-09-23,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",67.8,7.1,0.00
USW00094846,2023-09-24,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",69.2,8.5,0.00
USW00094846,2023-09-25,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",70.1,9.3,0.08
USW00094846,2023-09-26,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",68.7,10.0,0.00
USW00094846,2023-09-27,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",67.9,11.8,0.12
USW00094846,2023-09-28,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",66.0,12.1,0.00
USW00094846,2023-09-29,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",65.1,10.5,0.00
USW00094846,2023-09-30,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",64.8,9.2,0.00
USW00094846,2023-10-01,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",63.5,8.8,0.00
USW00094846,2023-10-02,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",62.1,9.5,0.05
USW00094846,2023-10-03,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",61.0,10.3,0.10
USW00094846,2023-10-04,41.995,-87.9336,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",60.2,11.0,0.00 
